city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_65,0.802,nan,No relevent experience,no_enrollment,High School,nan,2,nan,nan,never,13,No
city_21,0.624,nan,No relevent experience,Full time course,High School,nan,<1,nan,nan,never,166,Yes
city_102,0.804,nan,No relevent experience,no_enrollment,Graduate,STEM,<1,nan,nan,>4,142,Yes
city_13,0.8270000000000001,nan,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,NGO,2,82,No
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,nan,nan,>4,23,No
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,nan,nan,2,21,No
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,nan,5,50-99,Funded Startup,1,24,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,91,Yes
city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,12,nan,nan,3,150,Yes
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,never,37,Yes
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,4,52,Yes
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,16,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,4,No
city_173,0.878,Male,No relevent experience,Full time course,High School,nan,4,nan,nan,1,90,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,never,250,No
city_21,0.624,nan,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,Pvt Ltd,1,58,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,>4,52,No
city_21,0.624,nan,No relevent experience,Full time course,High School,nan,6,nan,nan,1,16,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,,10000+,Pvt Ltd,1,136,No
city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,4,10000+,Public Sector,1,69,No
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,20,100-500,NGO,4,35,No
city_103,0.92,Male,Has relevent experience,no_enrollment,nan,nan,6,nan,nan,2,62,No
city_103,0.92,Male,No relevent experience,Part time course,Graduate,Humanities,2,nan,nan,2,70,No
city_103,0.92,nan,No relevent experience,Full time course,Graduate,nan,2,nan,nan,1,202,Yes
city_123,0.738,Female,No relevent experience,no_enrollment,Phd,STEM,2,5000-9999,Pvt Ltd,1,12,No
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,151,No
city_21,0.624,Male,Has relevent experience,nan,Graduate,STEM,6,10000+,nan,2,58,No
city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,nan,nan,1,116,No
city_46,0.762,nan,No relevent experience,no_enrollment,Graduate,STEM,4,1000-4999,nan,2,83,No
city_45,0.89,Male,No relevent experience,Full time course,High School,nan,4,nan,nan,1,68,No
city_21,0.624,Male,Has relevent experience,no_enrollment,High School,nan,12,nan,nan,2,135,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,162,No
city_44,0.725,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,nan,nan,2,88,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,nan,nan,1,38,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,4,56,Yes
city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,40,No
city_28,0.939,nan,Has relevent experience,no_enrollment,Phd,STEM,>20,500-999,Pvt Ltd,>4,38,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,26,No
city_19,0.682,Male,No relevent experience,Full time course,High School,nan,6,nan,nan,never,106,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,3,12,No
city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,No Major,16,nan,nan,3,58,No
city_76,0.698,nan,Has relevent experience,no_enrollment,Graduate,STEM,10,nan,Pvt Ltd,never,45,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,nan,nan,>4,92,Yes
city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10/49,Pvt Ltd,1,11,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,25,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,2,324,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Funded Startup,1,13,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,29,No
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,222,No
city_67,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,12,nan,nan,never,50,No
city_65,0.802,nan,No relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,5,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,nan,2,25,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,48,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,nan,1,23,No
city_16,0.91,Other,Has relevent experience,no_enrollment,Graduate,STEM,11,nan,nan,1,82,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10/49,nan,1,105,Yes
city_103,0.92,nan,No relevent experience,Full time course,Graduate,STEM,5,10/49,Pvt Ltd,1,36,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10/49,Pvt Ltd,4,102,No
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,1,55,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Funded Startup,1,61,Yes
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,High School,nan,>20,10000+,Pvt Ltd,3,116,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,9,Yes
city_21,0.624,Female,Has relevent experience,Full time course,Masters,STEM,13,100-500,Pvt Ltd,>4,8,Yes
city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,>20,nan,nan,never,224,No
city_67,0.855,Male,No relevent experience,Full time course,High School,nan,<1,nan,nan,never,6,No
city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,28,Yes
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,Yes
city_71,0.884,nan,No relevent experience,no_enrollment,Graduate,Arts,>20,500-999,nan,2,54,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,4,10/49,Pvt Ltd,3,75,No
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,156,Yes
city_90,0.698,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,NGO,1,282,No
city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,nan,1,70,No
city_16,0.91,Male,No relevent experience,no_enrollment,Primary School,nan,5,nan,nan,never,62,No
city_141,0.763,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,288,No
city_50,0.8959999999999999,nan,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,never,77,No
city_57,0.866,Male,Has relevent experience,Part time course,Masters,STEM,>20,<10,Pvt Ltd,>4,226,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,69,No
city_21,0.624,nan,No relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,never,20,No
city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,222,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,81,No
city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,4,56,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Funded Startup,1,21,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,nan,Public Sector,1,278,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,46,Yes
city_116,0.743,Male,Has relevent experience,Full time course,Masters,STEM,>20,100-500,Pvt Ltd,>4,16,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,34,No
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,11,nan,nan,4,130,Yes
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,21,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,nan,2,20,No
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Other,<1,nan,nan,1,167,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,4,Yes
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Public Sector,1,12,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,NGO,1,84,No
city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,8,10000+,Pvt Ltd,2,6,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,98,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Funded Startup,>4,59,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,<10,Pvt Ltd,1,28,No
city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,1,31,No
city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,nan,3,nan,nan,never,73,No
city_114,0.926,nan,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,264,No
city_128,0.527,nan,No relevent experience,Full time course,High School,nan,1,nan,nan,never,80,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,61,Yes
city_103,0.92,Male,Has relevent experience,Part time course,Graduate,No Major,7,1000-4999,Public Sector,>4,22,No
city_136,0.897,nan,Has relevent experience,Part time course,Masters,STEM,5,50-99,nan,1,21,No
city_16,0.91,Male,Has relevent experience,no_enrollment,High School,nan,14,nan,nan,>4,34,No
city_83,0.923,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,2,56,Yes
city_103,0.92,Male,Has relevent experience,Part time course,Primary School,nan,11,nan,nan,4,20,No
city_61,0.913,Male,No relevent experience,no_enrollment,Masters,STEM,2,nan,Pvt Ltd,never,18,No
city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,nan,6,nan,nan,never,85,No
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Funded Startup,>4,262,No
city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,58,Yes
city_136,0.897,Male,No relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,>4,4,No
city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,>4,19,No
city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,nan,nan,2,8,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,2,34,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,31,Yes
city_21,0.624,nan,Has relevent experience,Full time course,Graduate,STEM,,5000-9999,nan,1,214,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,23,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Public Sector,2,32,No
city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,nan,nan,3,42,No
city_33,0.4479999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,28,No
city_73,0.754,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,1,92,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,nan,nan,1,77,No
city_103,0.92,nan,Has relevent experience,Full time course,Graduate,STEM,3,10000+,Pvt Ltd,1,51,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,nan,nan,1,75,Yes
city_160,0.92,nan,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,never,36,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,4,55,No
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,nan,nan,1,73,Yes
city_19,0.682,nan,Has relevent experience,no_enrollment,Graduate,STEM,5,nan,nan,2,22,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,8,50-99,Pvt Ltd,2,81,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,34,Yes
city_21,0.624,Male,No relevent experience,Full time course,High School,nan,3,nan,nan,never,34,No
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,80,No
city_118,0.722,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,70,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,26,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Business Degree,4,500-999,Pvt Ltd,1,206,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,62,No
city_102,0.804,Male,No relevent experience,no_enrollment,Graduate,Other,3,nan,nan,2,69,Yes
city_67,0.855,Male,No relevent experience,no_enrollment,Phd,STEM,9,nan,nan,>4,326,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,2,nan,nan,1,33,Yes
city_116,0.743,nan,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,nan,nan,144,No
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,22,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,143,No
city_21,0.624,Male,No relevent experience,Full time course,High School,nan,5,nan,nan,never,82,Yes
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,5000-9999,Public Sector,>4,9,No
city_36,0.893,Male,No relevent experience,Full time course,Graduate,STEM,8,<10,Pvt Ltd,never,312,No
city_50,0.8959999999999999,Male,No relevent experience,Full time course,Graduate,STEM,5,nan,nan,never,145,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Early Stage Startup,1,20,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,1,100-500,Pvt Ltd,1,22,No
city_158,0.7659999999999999,Male,No relevent experience,Full time course,Graduate,STEM,4,nan,nan,2,168,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,>4,101,No
city_21,0.624,nan,No relevent experience,no_enrollment,Graduate,Business Degree,10,nan,nan,>4,22,Yes
city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,1,3,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,26,Yes
city_64,0.6659999999999999,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,4,54,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Arts,>20,100-500,Pvt Ltd,>4,10,No
city_48,0.493,Male,Has relevent experience,no_enrollment,High School,nan,5,nan,nan,never,18,No
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,3,55,No
city_21,0.624,nan,Has relevent experience,Full time course,Graduate,Other,,10000+,Public Sector,nan,91,No
city_28,0.939,Male,No relevent experience,Part time course,High School,nan,4,10/49,Pvt Ltd,1,12,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,nan,nan,4,9,Yes
city_116,0.743,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,4,No
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,>4,104,No
city_75,0.939,Male,No relevent experience,no_enrollment,Masters,STEM,12,<10,Early Stage Startup,4,28,No
city_21,0.624,nan,No relevent experience,no_enrollment,Masters,STEM,7,5000-9999,Pvt Ltd,1,37,Yes
city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,nan,nan,1,15,Yes
city_136,0.897,Male,No relevent experience,no_enrollment,Graduate,STEM,18,100-500,Pvt Ltd,>4,58,No
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Pvt Ltd,1,33,No
city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,never,64,No
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,Humanities,9,5000-9999,NGO,2,74,No
city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Business Degree,18,nan,nan,>4,38,No
city_103,0.92,Male,No relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,27,No
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,500-999,nan,1,5,Yes
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,1,46,No
city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Early Stage Startup,4,21,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,2,nan,nan,1,65,Yes
city_105,0.794,Male,Has relevent experience,nan,Graduate,STEM,5,100-500,nan,1,84,No
city_65,0.802,Male,No relevent experience,Full time course,Graduate,STEM,6,nan,nan,1,40,No
city_103,0.92,Male,Has relevent experience,no_enrollment,High School,nan,4,10/49,Pvt Ltd,1,104,No
city_143,0.74,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,58,Yes
city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,6,5000-9999,Pvt Ltd,2,26,No
city_65,0.802,nan,Has relevent experience,Full time course,Graduate,STEM,6,nan,nan,nan,100,No
city_104,0.924,Male,Has relevent experience,Full time course,Graduate,STEM,9,100-500,Pvt Ltd,1,9,No
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,192,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,1,14,No
city_114,0.926,nan,Has relevent experience,no_enrollment,Graduate,STEM,14,nan,nan,1,65,Yes
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Funded Startup,1,42,Yes
city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,5,nan,nan,1,43,Yes
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,8,nan,nan,never,100,Yes
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,1,16,No
city_21,0.624,Male,Has relevent experience,no_enrollment,High School,nan,14,10/49,Pvt Ltd,>4,3,Yes
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,42,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,3,39,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Early Stage Startup,2,206,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,5,<10,NGO,1,15,No
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,6,50-99,Pvt Ltd,1,95,Yes
city_115,0.789,Male,No relevent experience,nan,Graduate,STEM,5,nan,nan,2,214,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Funded Startup,2,99,No
city_103,0.92,nan,No relevent experience,no_enrollment,Masters,STEM,<1,nan,nan,3,59,Yes
city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,13,nan,nan,2,84,Yes
city_41,0.8270000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,10,nan,nan,4,4,No
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,10,nan,nan,never,24,Yes
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,17,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,4,Yes
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,14,<10,Pvt Ltd,4,88,No
city_41,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,152,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,79,No
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,nan,6,50-99,Pvt Ltd,2,104,No
city_114,0.926,nan,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,7,Yes
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,2,28,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,56,No
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,1,95,No
city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,16,nan,nan,1,22,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,146,No
city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,1,31,No
city_173,0.878,nan,No relevent experience,Full time course,Masters,STEM,12,50-99,Public Sector,1,152,No
city_21,0.624,nan,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,2,18,Yes
city_102,0.804,Other,No relevent experience,Full time course,High School,nan,2,10000+,Pvt Ltd,2,15,No
city_100,0.887,nan,No relevent experience,Full time course,Graduate,STEM,8,nan,nan,never,106,No
city_103,0.92,nan,No relevent experience,no_enrollment,Graduate,Other,20,nan,nan,>4,59,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,149,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,4,21,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,21,No
city_143,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,6,10/49,Funded Startup,2,136,Yes
city_71,0.884,Female,Has relevent experience,Part time course,nan,nan,10,100-500,Pvt Ltd,2,57,No
city_73,0.754,Male,No relevent experience,Full time course,High School,nan,4,nan,nan,4,80,Yes
city_24,0.698,nan,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Pvt Ltd,1,15,No
city_67,0.855,nan,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,2,21,No
city_103,0.92,nan,No relevent experience,Full time course,Masters,STEM,>20,100-500,NGO,2,48,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,66,No
city_136,0.897,Female,No relevent experience,no_enrollment,Phd,Humanities,19,100-500,NGO,1,74,No
city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,never,6,No
city_103,0.92,Female,No relevent experience,no_enrollment,Masters,Humanities,>20,nan,nan,1,47,No
city_19,0.682,Male,No relevent experience,Full time course,Graduate,No Major,2,nan,nan,never,102,Yes
city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,4,31,No
city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,nan,nan,1,180,Yes
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,nan,nan,never,48,Yes
city_173,0.878,Male,Has relevent experience,Part time course,High School,nan,5,<10,Pvt Ltd,1,50,No
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,8,5000-9999,Pvt Ltd,1,18,Yes
city_114,0.926,nan,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,>4,98,No
city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,7,<10,Early Stage Startup,1,72,No
city_36,0.893,Male,No relevent experience,Full time course,Masters,STEM,10,1000-4999,Public Sector,2,37,No
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,nan,nan,2,15,Yes
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,NGO,4,40,No
city_114,0.926,nan,No relevent experience,no_enrollment,Graduate,STEM,4,nan,nan,4,32,No
city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Public Sector,2,19,No
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,nan,nan,1,51,No
city_21,0.624,Male,Has relevent experience,nan,Graduate,STEM,14,10000+,Pvt Ltd,1,78,Yes
city_23,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,50,No
city_21,0.624,nan,No relevent experience,Full time course,Graduate,STEM,3,nan,nan,never,44,No
city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1000-4999,Pvt Ltd,>4,68,Yes
city_103,0.92,nan,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,27,No
city_55,0.7390000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,>4,44,No
city_105,0.794,Female,Has relevent experience,Part time course,Masters,STEM,5,5000-9999,Pvt Ltd,1,304,No
city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,4,nan,Pvt Ltd,never,7,Yes
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,64,No
city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Pvt Ltd,1,28,No
city_103,0.92,Male,No relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,1,20,No
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,nan,nan,>4,114,No
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,1,72,No
city_102,0.804,Male,No relevent experience,no_enrollment,High School,nan,2,<10,NGO,never,145,No
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,nan,Public Sector,4,86,No
