Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,target
F,Ship,3,3,237,2,medium,M,8,5516,No
F,Ship,3,4,197,3,medium,M,13,2148,Yes
B,Ship,4,3,178,6,low,M,6,4203,No
F,Road,2,1,228,2,medium,M,10,4854,Yes
B,Ship,3,1,239,3,low,F,63,2154,Yes
F,Ship,3,5,195,2,medium,F,9,5832,No
A,Ship,4,1,173,2,medium,M,53,1251,Yes
A,Ship,3,2,176,2,low,F,2,5083,No
C,Ship,2,4,206,2,low,F,30,3955,Yes
D,Ship,3,5,135,2,medium,F,9,5614,Yes
B,Ship,5,4,228,6,medium,M,5,4974,Yes
C,Road,4,1,195,3,low,M,2,4418,No
C,Road,3,3,140,2,low,F,3,5713,No
F,Road,3,5,172,3,medium,M,1,5024,Yes
B,Flight,3,5,230,3,high,M,4,5189,Yes
C,Ship,3,2,260,4,high,F,3,4423,No
A,Ship,5,2,232,3,low,F,1,1187,Yes
D,Flight,5,4,242,5,medium,F,2,1717,Yes
F,Flight,4,1,173,3,high,M,1,5749,No
F,Ship,3,1,164,2,low,M,2,1304,Yes
A,Flight,4,4,252,3,medium,F,7,2477,Yes
A,Road,4,1,262,6,low,F,3,1830,Yes
D,Ship,3,3,229,7,high,F,4,5075,Yes
F,Road,7,3,264,4,medium,M,3,1296,No
F,Ship,4,1,164,4,medium,M,3,5318,Yes
F,Flight,5,5,180,2,high,M,5,4585,Yes
A,Ship,4,4,171,3,medium,F,11,1594,Yes
F,Flight,3,4,254,2,high,M,56,3266,Yes
F,Ship,3,1,266,3,low,M,6,4010,No
B,Ship,3,1,254,3,medium,F,35,2965,Yes
F,Ship,2,2,278,2,medium,F,9,4318,No
D,Ship,5,4,137,2,low,M,7,5338,Yes
F,Ship,6,3,285,4,medium,F,1,1606,No
B,Ship,4,1,253,4,low,F,1,5621,No
C,Flight,5,5,230,10,high,M,10,5619,Yes
C,Road,5,2,222,3,medium,M,10,5644,Yes
F,Ship,6,5,255,4,low,M,3,1624,Yes
C,Ship,4,2,210,2,high,F,3,5876,Yes
D,Ship,4,5,268,2,high,M,32,3675,Yes
C,Ship,5,1,262,2,medium,M,4,5761,No
F,Ship,2,4,208,3,medium,F,6,4226,Yes
A,Ship,4,3,148,3,high,F,7,5034,Yes
A,Ship,4,5,156,3,low,F,2,1127,Yes
A,Road,4,3,247,10,high,M,10,5882,No
F,Ship,3,5,193,3,medium,F,9,4982,No
A,Ship,4,4,224,2,low,F,8,5754,Yes
F,Ship,3,5,174,6,low,M,6,5713,No
C,Ship,4,4,245,2,low,F,2,4297,Yes
F,Road,4,3,143,3,low,F,2,4693,No
F,Ship,4,3,213,3,medium,M,4,4367,No
B,Ship,4,4,111,6,low,M,8,1145,Yes
B,Ship,3,5,153,2,low,F,44,1585,Yes
C,Ship,4,3,231,3,medium,M,8,4991,No
B,Flight,3,2,140,3,medium,M,8,5724,No
F,Ship,3,2,154,3,low,F,6,5540,Yes
F,Ship,3,5,149,3,low,F,9,5412,No
F,Flight,5,2,209,4,medium,M,15,3330,Yes
D,Ship,2,4,149,5,medium,F,7,5541,No
A,Flight,5,4,154,2,medium,M,10,5670,No
B,Ship,4,2,224,3,low,M,1,5821,No
A,Road,5,5,232,4,low,M,3,5447,No
F,Ship,2,5,116,3,low,F,1,4091,Yes
C,Ship,3,5,160,3,medium,F,1,5062,No
D,Ship,5,3,149,3,medium,F,43,1005,Yes
D,Road,3,4,194,2,medium,M,7,5553,No
F,Ship,6,2,307,4,low,F,9,1674,No
D,Ship,4,5,216,4,medium,F,1,4458,Yes
F,Ship,6,3,255,4,low,M,6,1654,Yes
D,Ship,4,1,248,2,medium,M,4,5783,No
F,Ship,3,5,164,3,high,M,10,4639,Yes
D,Ship,3,1,207,4,low,F,9,5889,No
F,Road,3,1,187,2,low,F,10,5064,Yes
B,Ship,2,1,198,2,low,M,8,4323,No
C,Flight,5,3,272,2,low,F,4,5112,No
F,Ship,5,3,232,3,medium,M,3,4526,No
B,Ship,4,5,185,2,low,F,47,3974,Yes
B,Ship,5,1,264,3,low,M,6,2882,Yes
A,Ship,3,4,117,3,medium,M,23,1527,Yes
F,Road,4,4,238,3,medium,F,5,4724,Yes
B,Ship,4,4,154,3,low,M,4,5393,Yes
B,Ship,4,4,170,3,medium,M,4,4062,No
F,Ship,3,1,192,2,low,M,33,2818,Yes
F,Ship,5,3,139,2,medium,F,3,5261,No
C,Ship,6,1,141,5,low,F,9,5113,No
F,Ship,4,2,246,3,low,F,1,5815,Yes
C,Ship,4,1,244,2,low,F,3,4644,Yes
F,Ship,3,1,225,2,high,F,43,2585,Yes
F,Flight,3,1,250,3,medium,F,8,5509,No
F,Ship,3,1,250,3,low,F,8,3617,Yes
F,Ship,4,4,252,5,medium,M,2,1995,Yes
D,Ship,4,1,127,8,low,F,12,1519,Yes
A,Ship,4,3,272,2,medium,F,5,4681,Yes
C,Ship,4,2,166,3,medium,F,8,4758,No
C,Ship,4,2,144,4,medium,F,2,4316,No
A,Ship,6,2,309,4,medium,F,8,1289,Yes
B,Ship,4,1,134,2,medium,F,7,5967,No
F,Road,3,3,249,2,medium,M,53,2323,Yes
C,Road,4,4,170,5,low,M,5,4823,Yes
F,Flight,3,4,224,3,low,F,10,4806,Yes
F,Road,5,5,224,8,low,F,49,3282,Yes
D,Ship,4,4,218,2,low,M,9,5637,No
D,Ship,3,1,204,4,medium,F,6,5926,Yes
D,Ship,4,5,267,3,low,F,53,3742,Yes
D,Ship,6,2,246,4,medium,M,7,1071,No
C,Ship,3,5,134,2,low,F,4,5291,No
D,Ship,6,3,219,4,medium,M,6,4885,Yes
D,Ship,3,2,231,3,low,M,55,3952,Yes
D,Ship,5,2,141,2,medium,F,1,4287,No
D,Ship,4,5,163,3,low,M,38,1146,Yes
C,Ship,4,1,225,2,medium,F,10,4577,Yes
D,Ship,3,4,246,3,low,M,1,4020,Yes
D,Ship,3,2,160,3,medium,F,6,4808,Yes
A,Flight,7,2,307,4,medium,M,2,1073,No
F,Ship,4,2,265,3,medium,F,1,5385,No
A,Ship,6,1,307,4,low,F,3,1977,No
A,Ship,3,4,242,5,low,M,5,2307,Yes
C,Ship,5,1,194,3,medium,F,32,3003,Yes
F,Ship,3,1,125,3,medium,M,9,5489,No
D,Ship,2,2,249,3,low,F,3,4129,Yes
D,Flight,5,3,274,6,medium,M,7,1293,No
C,Ship,5,1,241,2,medium,F,3,5391,Yes
F,Road,4,3,240,8,medium,M,8,4319,Yes
F,Flight,4,5,259,3,medium,M,10,4921,Yes
A,Ship,4,2,247,4,high,F,9,4588,Yes
C,Ship,4,1,221,3,low,F,3,2546,Yes
A,Flight,3,5,251,3,high,F,4,4156,Yes
A,Road,5,4,171,4,low,M,7,5359,Yes
F,Road,4,2,246,5,low,M,9,1206,Yes
F,Flight,4,4,137,3,medium,F,8,4066,Yes
D,Ship,7,3,310,4,medium,F,7,1989,No
F,Ship,3,5,160,3,low,F,8,4106,No
A,Ship,3,2,206,2,low,F,7,4185,Yes
A,Ship,3,3,208,3,medium,M,61,3783,Yes
A,Ship,4,2,269,10,high,M,2,5616,Yes
F,Flight,3,4,144,2,low,F,33,1811,Yes
B,Road,3,1,175,2,low,M,42,1668,Yes
B,Flight,4,1,245,5,medium,F,8,1923,No
F,Ship,5,4,259,3,medium,F,43,2685,Yes
C,Ship,4,1,277,5,medium,M,3,1527,Yes
F,Ship,4,1,228,3,medium,M,4,5347,Yes
A,Road,5,1,135,3,low,M,3,4939,Yes
F,Ship,4,3,246,5,low,M,7,1134,No
C,Ship,6,2,246,4,low,M,4,1555,No
B,Ship,4,5,177,2,low,M,47,1536,Yes
F,Flight,3,2,209,2,medium,M,6,5095,Yes
B,Ship,2,5,140,3,low,F,30,1030,Yes
A,Flight,4,3,177,3,low,F,7,4834,Yes
C,Road,3,5,180,2,low,M,33,1444,Yes
D,Ship,3,4,211,3,low,M,56,3654,Yes
F,Ship,3,4,204,2,low,F,10,5844,Yes
D,Ship,4,2,265,2,low,M,2,5649,No
B,Ship,4,4,201,10,medium,M,17,2059,Yes
F,Ship,3,1,215,6,high,M,5,3432,Yes
C,Ship,4,5,144,2,low,M,2,4978,No
D,Flight,3,3,238,8,medium,F,3,4943,No
A,Ship,7,3,288,4,medium,M,3,1989,No
F,Ship,4,3,242,2,medium,M,2,5879,No
D,Flight,3,5,198,3,medium,F,1,3667,Yes
F,Ship,5,4,264,3,medium,M,2,5716,No
B,Road,4,4,208,2,high,F,20,2759,Yes
A,Flight,4,2,180,2,medium,F,10,5666,Yes
A,Ship,3,2,239,3,low,M,4,5628,Yes
A,Flight,4,3,171,3,low,F,24,1304,Yes
F,Flight,5,5,273,3,medium,F,18,2415,Yes
D,Ship,3,2,204,10,medium,F,10,4534,No
A,Road,5,5,254,2,medium,M,6,4934,No
A,Ship,4,3,262,3,medium,M,46,2904,Yes
C,Ship,5,1,227,2,low,M,15,3798,Yes
F,Road,3,3,205,3,medium,F,19,2167,Yes
A,Ship,3,2,168,3,medium,M,2,4231,No
F,Ship,4,4,135,2,low,M,4,4684,No
F,Ship,4,5,164,3,high,M,3,4454,No
F,Road,4,3,161,3,high,M,7,4245,No
C,Ship,5,5,167,3,medium,M,9,4319,Yes
C,Road,5,2,250,2,medium,F,6,5565,No
B,Road,5,4,249,3,high,F,2,4397,Yes
F,Ship,2,2,190,2,medium,M,7,4075,No
A,Ship,4,3,136,3,low,F,7,5976,No
F,Ship,3,2,164,2,medium,F,7,4150,No
F,Ship,5,5,264,3,high,F,3,5835,Yes
A,Flight,3,5,190,5,high,F,7,4457,No
B,Ship,5,1,140,4,medium,M,48,1322,Yes
F,Road,5,1,145,3,low,M,20,1387,Yes
F,Ship,3,2,201,6,medium,M,7,4723,Yes
A,Ship,4,1,245,3,medium,F,5,4173,No
F,Ship,6,5,284,4,medium,M,8,5346,Yes
F,Ship,4,4,212,2,medium,M,5,4774,Yes
A,Ship,3,1,160,2,medium,M,5,4435,Yes
B,Ship,4,4,157,3,medium,F,10,5041,Yes
C,Road,5,3,256,6,medium,F,5,5614,Yes
C,Flight,4,4,127,5,low,F,16,1955,Yes
A,Ship,5,1,160,5,medium,F,16,1526,Yes
D,Ship,4,5,169,4,low,M,6,4168,Yes
B,Road,6,3,309,4,medium,M,2,1270,Yes
A,Ship,4,2,192,6,high,F,3,5173,No
A,Ship,4,5,143,8,low,M,44,1756,Yes
B,Road,4,1,215,3,low,M,9,4551,No
C,Ship,6,3,252,2,low,M,1,1756,No
A,Ship,4,2,171,3,low,M,34,1352,Yes
A,Flight,3,1,145,2,low,M,28,1313,Yes
B,Ship,6,3,272,3,low,F,39,2518,Yes
A,Ship,5,5,264,3,medium,F,56,3482,Yes
C,Ship,3,5,268,2,low,F,4,5909,No
B,Ship,3,3,149,3,low,M,6,4654,No
B,Road,7,1,307,4,low,F,8,1339,No
F,Ship,5,2,183,5,high,F,8,4820,No
D,Flight,2,1,181,4,low,F,2,4747,No
D,Road,3,1,174,3,low,M,7,4318,Yes
C,Ship,5,1,250,3,low,M,8,5845,No
D,Road,2,4,101,6,low,F,6,5080,Yes
D,Ship,5,2,123,5,low,F,4,5284,No
F,Road,6,5,281,4,medium,M,5,1484,No
B,Road,5,2,253,2,medium,F,9,5530,No
B,Ship,4,2,195,5,medium,M,9,5178,Yes
F,Flight,5,3,254,2,medium,F,5,4764,Yes
F,Ship,6,4,287,4,low,F,5,1972,Yes
A,Ship,4,2,255,5,low,F,7,1378,No
D,Ship,3,1,169,2,medium,F,19,1183,Yes
C,Ship,4,4,143,2,medium,F,3,5630,Yes
F,Ship,3,2,234,3,medium,M,5,4757,Yes
F,Ship,4,1,163,2,low,F,3,4099,Yes
F,Ship,5,3,224,2,medium,M,1,5603,No
C,Ship,3,5,193,2,medium,F,12,3730,Yes
D,Ship,4,4,187,3,high,M,6,4567,No
B,Ship,4,3,222,2,medium,M,55,3833,Yes
F,Flight,2,3,198,2,medium,M,28,3514,Yes
B,Ship,3,1,230,3,medium,M,3,4957,No
B,Ship,4,1,275,3,medium,F,7,5382,Yes
B,Ship,3,4,238,2,low,M,3,4723,No
B,Ship,3,2,137,3,medium,F,9,1347,Yes
F,Flight,5,5,203,2,low,M,10,4790,Yes
C,Ship,4,4,156,2,low,M,7,5017,No
C,Ship,4,3,177,3,medium,F,4,4551,No
C,Ship,3,2,209,2,low,M,9,5203,No
D,Ship,5,5,224,5,low,F,7,1505,No
F,Ship,4,4,232,4,low,M,27,3436,Yes
C,Ship,4,2,156,3,low,F,1,5361,No
F,Ship,6,4,254,4,low,M,2,1174,No
A,Ship,4,2,136,2,medium,F,7,4305,Yes
A,Ship,4,2,264,3,low,M,10,5137,Yes
D,Flight,5,3,280,6,high,M,5,4585,No
A,Flight,4,5,265,2,medium,F,9,5135,Yes
D,Ship,4,1,165,3,medium,F,10,4574,No
A,Ship,5,1,105,6,medium,M,62,1292,Yes
F,Road,2,1,137,3,low,M,1,4539,No
F,Ship,5,1,189,2,medium,M,10,5248,No
F,Ship,4,3,157,7,low,F,3,4878,Yes
C,Flight,4,3,267,5,medium,F,9,1538,No
B,Road,6,2,153,5,low,F,1,4597,Yes
C,Flight,5,5,201,3,medium,F,10,5121,Yes
D,Ship,3,4,227,4,low,F,9,5465,No
F,Ship,3,4,212,2,high,M,13,2733,Yes
D,Flight,4,1,135,4,low,F,5,5934,No
F,Flight,5,1,184,3,low,F,19,2625,Yes
D,Ship,3,1,159,3,low,M,10,4784,Yes
A,Road,4,5,277,5,medium,F,32,1055,Yes
F,Ship,6,3,245,5,medium,F,8,5678,Yes
B,Ship,4,2,223,3,medium,F,56,3158,Yes
B,Ship,3,3,209,3,medium,F,5,5831,No
F,Ship,3,3,192,3,medium,M,4,5479,No
C,Road,4,2,268,3,medium,M,1,4927,No
A,Ship,6,4,172,6,medium,F,10,5554,Yes
F,Road,3,4,245,4,low,M,4,5186,Yes
F,Ship,3,4,133,8,medium,F,10,5439,Yes
A,Ship,3,4,263,3,medium,F,2,5741,Yes
A,Ship,5,2,249,6,low,M,8,5633,No
F,Ship,5,3,218,3,medium,F,4,4198,Yes
F,Road,4,5,159,2,low,F,3,5704,No
D,Flight,6,1,231,4,medium,F,23,2455,Yes
F,Ship,3,4,147,3,low,F,8,5525,No
C,Road,6,2,279,4,low,F,5,1836,No
F,Road,4,2,147,3,medium,M,44,1873,Yes
A,Ship,5,4,229,5,low,M,9,1069,Yes
D,Ship,3,5,143,2,low,M,17,1422,Yes
B,Ship,2,2,271,4,medium,M,9,4066,No
C,Road,3,1,262,2,low,F,28,2940,Yes
D,Ship,5,5,240,2,low,F,2,5655,No
D,Road,6,1,188,5,low,M,4,4887,No
C,Ship,4,2,170,2,low,F,1,1446,Yes
C,Flight,5,4,217,2,medium,M,4,4380,Yes
A,Flight,3,3,206,2,medium,M,62,3558,Yes
F,Road,3,2,180,2,high,M,10,4024,No
D,Road,4,2,237,3,low,M,1,5114,No
A,Flight,5,2,260,2,medium,M,23,3962,Yes
F,Ship,3,3,253,2,low,M,5,4112,Yes
B,Ship,4,4,212,3,medium,M,50,2073,Yes
A,Ship,3,5,171,3,low,F,49,1333,Yes
F,Road,3,1,135,2,low,M,7,5682,No
F,Road,5,5,284,6,low,M,9,3912,Yes
A,Ship,5,4,215,2,low,F,1,5669,No
C,Ship,5,1,236,3,medium,F,10,1347,Yes
C,Ship,5,5,262,5,low,M,2,1304,No
D,Ship,3,3,147,2,low,F,52,1040,Yes
B,Ship,3,4,240,2,low,M,8,3883,Yes
B,Road,5,4,260,3,low,M,8,4535,No
B,Ship,4,2,259,6,medium,M,8,1096,Yes
B,Road,5,3,244,5,low,F,3,1174,No
B,Road,5,4,239,5,low,F,10,1042,Yes
A,Road,5,2,256,7,low,F,41,2758,Yes
A,Road,5,3,245,5,low,M,8,1471,No
A,Ship,3,4,164,3,medium,M,13,1158,Yes
B,Ship,4,1,175,3,medium,M,2,5861,No
A,Road,6,1,283,5,low,F,10,1304,Yes
F,Ship,7,1,264,4,medium,F,5,1238,No
B,Ship,3,1,112,2,high,M,22,1846,Yes
A,Ship,2,5,127,3,low,M,44,1341,Yes
F,Ship,5,4,138,2,medium,F,8,5885,Yes
B,Ship,3,1,210,2,low,M,9,5932,No
F,Road,4,1,242,2,low,F,2,5825,No
B,Ship,5,2,266,7,low,M,40,2304,Yes
D,Ship,7,3,251,5,low,F,8,1616,Yes
A,Ship,3,4,260,3,low,F,21,2003,Yes
F,Ship,3,1,146,3,medium,M,16,1714,Yes
B,Ship,5,5,240,5,low,M,8,1750,Yes
D,Flight,2,2,149,3,low,F,4,4819,Yes
F,Ship,4,5,267,5,low,M,7,1983,No
B,Ship,4,5,136,3,medium,M,7,4817,Yes
F,Ship,5,5,164,5,low,M,52,1644,Yes
F,Ship,3,1,274,2,high,M,2,4352,No
F,Ship,5,3,179,6,medium,M,1,4930,Yes
F,Ship,3,3,152,2,low,M,32,1665,Yes
F,Ship,3,2,188,5,medium,M,7,5673,No
F,Ship,3,3,261,8,low,M,10,4145,No
B,Ship,2,4,191,3,medium,F,6,4119,No
C,Ship,6,2,266,4,low,F,9,1220,No
F,Ship,6,4,253,4,medium,M,10,1248,No
F,Flight,4,5,219,3,medium,M,6,5957,Yes
F,Flight,4,1,150,6,medium,F,42,1070,Yes
D,Ship,4,4,263,3,medium,M,1,5283,Yes
A,Ship,4,1,188,2,low,M,10,5085,Yes
B,Ship,6,3,308,5,medium,F,4,1118,No
A,Flight,5,2,260,3,low,F,22,2935,Yes
F,Flight,4,2,266,5,medium,M,3,4578,No
B,Ship,3,1,202,2,high,F,21,3120,Yes
C,Ship,6,2,245,4,low,F,8,1904,No
C,Ship,3,4,196,3,low,F,52,2129,Yes
B,Road,3,1,190,3,low,F,1,5065,Yes
D,Flight,4,3,248,3,medium,F,5,4667,No
D,Ship,5,2,258,5,low,F,2,1232,Yes
A,Ship,4,5,157,2,medium,M,6,5937,No
A,Road,6,5,248,3,low,F,3,5709,Yes
B,Ship,5,1,234,3,medium,M,40,3340,Yes
F,Ship,6,5,308,4,low,M,4,1202,No
D,Ship,4,5,149,2,low,M,2,5724,Yes
F,Flight,5,5,255,2,medium,M,1,4604,Yes
D,Ship,4,3,236,3,low,M,4,4257,Yes
F,Flight,3,5,262,2,medium,F,7,4422,Yes
D,Flight,4,4,257,5,medium,F,4,1668,No
C,Ship,4,3,213,3,medium,M,57,3599,Yes
D,Ship,5,3,242,3,low,M,58,3411,Yes
D,Road,4,5,188,3,low,M,4,4632,No
C,Road,3,1,182,3,medium,F,40,3536,Yes
C,Ship,4,1,153,3,low,F,8,5198,No
A,Flight,4,4,216,4,medium,M,27,3740,Yes
F,Flight,4,1,164,3,high,F,1,5492,No
F,Ship,5,3,104,4,low,M,3,4885,Yes
D,Ship,3,2,190,3,low,M,37,3315,Yes
F,Ship,5,4,281,4,medium,M,56,3709,Yes
A,Road,6,2,294,4,medium,M,10,1148,No
A,Flight,4,1,263,4,low,M,9,4390,No
B,Ship,5,5,158,2,low,M,8,4743,No
F,Flight,3,5,162,2,medium,M,7,1739,Yes
D,Ship,6,1,254,4,medium,F,6,1928,Yes
A,Flight,4,1,227,3,high,M,8,4795,No
F,Ship,3,2,264,3,medium,F,43,3439,Yes
A,Road,7,1,264,4,medium,F,2,1540,No
B,Ship,6,5,194,5,low,F,8,4777,No
B,Ship,3,3,188,5,low,M,25,3992,Yes
F,Ship,4,2,151,4,medium,F,5,5469,No
F,Ship,5,3,238,2,medium,F,21,2053,Yes
F,Flight,4,1,172,3,medium,F,10,5106,Yes
C,Ship,3,1,196,2,low,M,10,4141,Yes
A,Ship,6,2,287,4,low,F,7,1837,Yes
C,Ship,6,5,211,4,medium,F,4,4032,No
F,Ship,3,4,220,3,medium,F,5,5078,No
A,Road,5,2,135,2,medium,M,4,5405,No
F,Ship,4,2,252,2,high,F,4,5233,Yes
F,Ship,3,5,233,4,low,F,9,4541,No
F,Ship,4,5,202,3,medium,F,46,3181,Yes
A,Road,4,5,139,2,medium,F,1,4606,No
F,Ship,6,1,263,4,low,F,6,1153,No
A,Ship,5,5,268,3,low,F,8,5480,No
F,Ship,4,4,275,5,medium,M,5,1117,No
D,Flight,5,4,202,3,low,F,3,4559,Yes
F,Ship,5,3,123,2,low,F,30,1068,Yes
C,Ship,4,5,224,10,medium,F,7,4521,Yes
C,Flight,2,5,254,2,low,M,10,5718,Yes
B,Flight,2,1,238,4,medium,F,4,4780,No
A,Ship,2,3,274,4,medium,F,10,4798,Yes
D,Flight,4,5,236,3,low,M,8,4132,No
C,Flight,3,5,214,2,medium,F,4,4077,Yes
A,Road,5,2,154,3,low,M,40,1238,Yes
F,Ship,3,5,165,3,medium,M,33,1500,Yes
F,Road,4,2,174,3,low,F,3,5920,No
D,Ship,7,5,282,5,low,M,8,1091,Yes
B,Road,3,4,157,3,medium,F,6,5398,Yes
D,Road,5,3,242,5,low,M,3,1276,Yes
F,Ship,4,5,262,6,low,M,10,1156,No
B,Ship,4,1,206,3,medium,M,23,3807,Yes
D,Road,4,4,236,4,low,M,65,2280,Yes
C,Ship,3,5,190,10,medium,F,27,2739,Yes
F,Ship,5,1,162,3,medium,M,5,4064,Yes
C,Road,3,4,167,3,medium,M,50,1068,Yes
F,Flight,2,2,155,3,low,M,1,5154,No
C,Ship,4,2,195,2,medium,M,10,4640,No
D,Road,4,5,240,3,low,F,5,5734,Yes
D,Ship,5,5,240,6,low,F,10,1986,No
C,Road,4,4,169,3,medium,M,5,5743,No
F,Road,4,5,201,4,medium,M,46,3498,Yes
B,Flight,3,1,199,3,high,M,3,5127,No
C,Flight,5,5,105,5,low,F,10,5418,Yes
F,Ship,5,3,135,3,medium,F,5,4484,No
D,Ship,5,5,235,3,low,F,4,5325,No
A,Flight,3,2,169,2,medium,F,10,4038,Yes
B,Ship,3,2,253,2,low,M,8,5608,No
F,Flight,4,4,209,6,low,F,7,4852,No
F,Ship,4,5,111,4,medium,M,7,5988,Yes
A,Flight,6,3,229,8,medium,M,6,4600,No
B,Flight,5,5,239,3,medium,M,8,4975,No
C,Ship,4,4,192,2,low,M,1,4429,No
F,Flight,3,5,154,3,medium,M,46,1312,Yes
D,Flight,6,2,268,4,low,M,7,1943,No
F,Ship,4,4,272,3,low,M,9,5458,No
A,Ship,3,1,180,2,low,M,26,1715,Yes
C,Road,3,5,166,3,high,F,5,5206,No
F,Flight,3,3,160,2,medium,F,32,1718,Yes
A,Ship,6,2,290,4,medium,M,2,1070,Yes
F,Ship,4,3,133,2,low,F,10,4195,No
D,Ship,4,2,224,2,medium,F,8,4781,Yes
F,Ship,3,2,140,2,low,F,16,1685,Yes
C,Ship,5,1,111,4,high,F,2,5978,Yes
F,Ship,4,5,254,10,high,M,7,5524,Yes
F,Road,3,2,235,2,medium,F,9,5116,No
B,Ship,3,2,199,4,low,F,47,2208,Yes
A,Ship,5,1,275,5,low,M,7,1623,Yes
A,Road,3,4,148,4,medium,F,9,5301,No
B,Ship,5,3,188,2,low,M,6,4840,No
F,Ship,5,5,232,3,low,M,4,1716,Yes
C,Ship,7,3,305,4,medium,F,6,1167,No
A,Flight,3,5,191,3,low,M,23,3750,Yes
D,Ship,6,5,298,4,low,M,3,1009,Yes
D,Ship,5,4,243,5,medium,F,4,1813,No
B,Flight,4,2,272,2,low,M,1,5703,Yes
F,Road,4,1,272,2,low,F,8,5328,Yes
F,Ship,4,5,265,2,low,F,6,4660,Yes
F,Ship,7,5,267,4,medium,F,10,1067,No
A,Ship,5,1,132,4,medium,F,4,5461,No
F,Ship,5,5,253,2,medium,F,2,4364,No
C,Ship,3,1,223,7,high,M,5,4439,Yes
F,Ship,3,3,155,2,medium,F,5,5577,No
B,Ship,6,2,309,4,medium,F,8,1930,No
F,Ship,4,5,216,3,high,M,26,2053,Yes
A,Ship,3,1,178,4,medium,M,9,5727,Yes
F,Ship,5,3,242,5,low,F,6,1681,No
D,Ship,4,2,142,3,medium,F,3,4644,No
F,Ship,4,2,158,3,low,M,3,4527,No
B,Ship,4,4,263,2,medium,F,41,3955,Yes
F,Ship,5,1,227,5,low,M,6,1667,No
D,Road,4,4,146,10,low,F,3,4152,Yes
F,Ship,5,1,258,2,medium,F,22,3713,Yes
D,Ship,3,5,137,2,medium,M,38,1647,Yes
A,Flight,4,2,216,3,low,M,4,4309,Yes
C,Road,3,3,176,3,medium,M,9,5575,No
F,Ship,6,2,164,4,low,M,6,5264,No
A,Ship,3,1,247,2,low,M,7,5557,No
B,Ship,3,5,243,3,medium,M,4,3189,Yes
B,Ship,6,5,301,4,low,F,4,1707,Yes
C,Ship,6,5,178,3,low,F,5,4096,No
A,Ship,4,2,239,4,low,F,10,5528,Yes
F,Flight,3,5,208,3,low,M,1,4803,No
F,Ship,3,4,228,3,medium,F,8,5419,No
B,Ship,4,3,99,6,medium,M,9,5903,No
A,Road,4,5,218,3,low,F,40,3200,Yes
F,Ship,4,3,140,3,low,M,1,4453,No
C,Flight,5,1,255,5,low,M,3,1574,Yes
F,Ship,5,5,185,3,low,M,5,4520,Yes
C,Ship,5,4,222,3,low,M,3,5555,No
B,Ship,3,4,172,3,low,M,56,1103,Yes
F,Ship,4,4,159,3,medium,M,3,5545,No
A,Ship,5,1,246,3,low,F,3,5013,No
C,Ship,3,3,115,6,high,F,6,5636,No
F,Road,3,1,160,2,low,F,10,5642,Yes
C,Ship,3,4,188,4,low,F,6,5016,No
B,Road,4,3,274,3,high,F,7,5517,No
D,Ship,3,3,219,6,low,M,10,1116,No
C,Ship,3,1,193,3,medium,M,3,5154,No
A,Ship,3,4,197,6,medium,M,3,4890,Yes
F,Ship,3,5,159,3,low,M,46,1857,Yes
D,Flight,3,5,157,4,medium,M,26,1969,Yes
C,Ship,5,5,270,5,low,M,5,1852,Yes
F,Flight,4,5,258,5,low,M,3,1162,No
F,Road,4,5,218,3,low,M,25,2682,Yes
D,Ship,5,4,161,5,medium,M,1,5779,Yes
A,Ship,2,1,211,3,low,M,6,1760,Yes
F,Ship,4,4,201,2,medium,M,7,4320,No
B,Ship,4,3,134,4,low,M,8,4879,Yes
C,Ship,4,3,241,2,medium,M,3,4636,Yes
D,Ship,4,3,177,3,low,M,1,5282,No
D,Ship,4,1,253,7,medium,M,37,2955,Yes
D,Ship,3,2,214,3,medium,M,1,5362,No
A,Ship,3,5,268,3,low,F,6,4172,Yes
D,Road,4,5,170,3,medium,M,3,4695,Yes
F,Flight,3,3,172,4,low,F,33,1989,Yes
B,Flight,5,4,235,3,medium,F,8,4636,No
F,Ship,3,4,156,3,medium,M,6,5255,Yes
F,Ship,4,2,184,2,medium,F,10,5959,No
F,Ship,4,3,249,5,low,F,3,1012,Yes
C,Road,6,5,263,7,high,M,9,5991,Yes
F,Ship,3,3,151,3,medium,F,1,5297,No
F,Flight,4,3,197,5,low,F,8,4209,Yes
D,Ship,6,2,260,4,low,F,8,1522,No
F,Ship,3,5,271,2,medium,M,7,4958,No
F,Ship,3,1,195,3,high,M,5,3251,Yes
B,Ship,4,1,155,4,low,F,1,4985,No
F,Ship,3,3,141,3,medium,M,10,1751,Yes
B,Flight,4,3,153,3,low,M,5,5743,Yes
F,Ship,5,1,201,2,medium,F,54,2158,Yes
A,Ship,6,3,273,5,low,M,8,1746,Yes
D,Flight,4,1,218,2,low,M,7,4597,No
B,Ship,4,1,178,3,high,M,3,5520,Yes
B,Ship,3,3,250,3,medium,M,9,2752,Yes
A,Ship,5,5,194,4,medium,F,4,4003,No
F,Ship,3,3,150,2,medium,M,9,4100,No
A,Ship,6,3,252,2,low,M,6,1470,Yes
F,Ship,4,3,218,5,low,M,2,4823,Yes
A,Ship,4,1,151,6,low,M,7,4387,No
